file_name,track_name,artist,lyrics
share_video_7329274198096973099_.mp3,Montagem Mysterious Game,LXNGVX,This song is an instrumental
share_video_7339685917759769899_.mp3,Dumptruck,Kinfolk Thugs,"[Intro]
Ah-where they at?
(K-K-K-Kin Folk Thugs)
(Hey, hey) I love the way you work it
(Hey, hey) I love the way you work it
Right about now
(Hey, hey) I love the way you work it
This where all the fine ladies take the floor
(Hey, hey) I 'm talkin' 'bout that dump truck
Let me see that dump truck, baby
(
Hey, ladies
)
Now, don't worry bout' it, some dump trucks bigger than others
(
You, you drive me crazy
) It ain't the size of that thang
It's how you dump that dump truck
You know what I'm talkin' 'bout?
[Chorus]
I'm talkin' 'bout that dump truck (C'mon)
Now back it up and dump it (
Hey, ladies
)
Back it up and dump it on me
Back it up and dump it
Back it up and dump it on me
Back it up and dump it
(
You, you drive me crazy
)
Back it up and dump it on me
Back it up and dump it
I'm talkin' 'bout that dump truck"
share_video_7324083003284573482_.mp3,Little Life,Cordelia,"[Verse 1]
How would you have me described?
With light?
With words you think that I'd like?
If I found out that I could flight
Would I take you out tonight?
[Pre-Chorus]
A little bit more, a little bit less
A little bit harder than I thought they said
A little bit fine, a little bit stressed
A little bit older than I thought I'd get
But I
[Chorus]
I think I like this little life
This little life
I think I like this little life
This silly little life
[Verse 2]
Eyes, smiling over candles
Mismatched chairs
Arms crossing where those hands go
It's loud, but that volume makes my heart glow
And time isn't real as the sun goes
Oh, oh, oh"
share_video_7303373812387679490_.mp3,"A Sky Full of Stars (Live at the Royal Albert Hall, London)",Coldplay,"[Intro]
Oh, turn the lights on, turn the lights on yeah, turn the lights on
Oh, let's go, yeah, yes
[Verse 1]
'Cause you're a sky, 'cause you're a sky full of stars
I'm gonna give you my heart
'Cause you're a sky, 'cause you're a sky full of stars
And 'cause you light up my path, oh
[Chorus]
And I don't care, go on and tear me apart
I don't care if you do, ooh-ooh, oh
'Cause in a sky, 'cause in a sky full of stars
I think I saw you, ooh-ooh-ooh, ooh-ooh-ooh
Let's go, one, two, three, go!
[Verse 2]
'Cause you're a sky, 'cause you're a sky full of stars
I wanna die in your arms, oh, oh-oh, oh
'Cause you get lighter the more it gets dark
I'm gonna give you my heart, oh
[Chorus]
And I don't care, go on and tear me apart
I don't care if you do, ooh-oh, oh
'Cause in a sky, 'cause in a sky full of stars
I think I saw you, ooh-ooh-ooh, ooh-ooh-ooh
I think I saw you, ooh-ooh-ooh, ooh-ooh-ooh
One, two"
share_video_7306351228974288159_.mp3,How To Never Stop Being Sad,dandelion hands,"Repeat to yourself that they're not really gone
Time has proven that fooling yourself into believing a lie is the most effective way to deal with things you have no control over
Keep listening to the mixtapes they made you
Overanalyze every single word you hear
""Was this a sign that things were going wrong?""
No, no, you were the one who cared too hard, not them
Stay up every single night staring at your phone
Either attempting to gather up the courage to turn these demons
These constant reminders of your loneliness into nothing more than a bad dream
Or praying just for one second you could feel the warmth of equally returned love
Go out for coffee four times a week by yourself
Always bring your notebook, never stop writing
Leave little comics and thank you notes with your tip
Watch them smile as you get in your car
Talk down on yourself whenever possible
""My life is shit because I deserve it, right?""
You must have done something really bad;
It's nearly impossible for you to cry now
Avoid your friends for weeks even though they're the only sense of consistency you have left in your life
If they really wanted to see you, they'd come, but they won't
Who cares?"
share_video_7341080338803821866_.mp3,How To Press a Pill,Punchmade Dev,"[Intro]
Drug use in Kentucky is on the rise according to a new study by Millennium Health
The state ranks number one for percentage of fentanyl-positive drug tests in 2019
Fentanyl use often coincides with heroin, cocaine, or meth use in Kentucky, according to Millennium Health
[Verse]
Should I rap or should I stick to my addiction?
Should I trap or should I keep punchin' in credit card digits?
I'm trying to find another fiend, I'm in the kitchen
I got too many options, all of them come with a sentence
I heard they said the police on my trail, but I'm still livin' free (Where they at?)
Long live Heather, I'm a pill legend, I let her live through me
I think it's time for me to start givin' out pills for free
Here go a fake pill for you, I'm keepin' the real ones for me
I'll backdoor my own mans, don't be playing with me
In my traphouse, I got a couple fiends stayin' with me
It make it easier for me to make them get paper to me
I can show you how to make a mil' off pills, I'll tell you for free (Come on)
First, you want to get a real bag of Percocets
Pour them on a table, spread it out, see what you workin' with
This probably ain't for you if you ain't never seen or heard of it
You gon' have a couple hiccups, long live Heather, she's a murder kit
Okay, once you get the pills, you need Fentanyl
It's okay if you're running low on pills, we finna stretch them all
This the play, gather up all of the pills, we finna crush them all
If you're greedy, you can triple cut the pills like me, I need it all
Let me guess, you forgot to buy the pill presser?
Grab a piece to go punch it off Amazon 'cause the shipping is better
Grab a good one unless you don't care to make a new Heather
I'm tryna tear a happy family down, I can kill them together
Wear gloves, you gotta make sure you keeping it clean
Grab the Percocets and Fentanyl, put it in the machine, press the pill down and
stamp the M, get it right for the fiends
When you finish that, go to the hood, but don't start a big scene
Make sure they're dressed up like a bum, so you fit in the hood
Once you get clientele, start paying fiends to make sure that it's good
Tell them be a lookout because the police be all in the hood
Give a couple of samples out for free
They come back when it's good, but they can't come back when they dead
I got a strange addiction, I get really excited when they dead
I don't know where I would be at if I wasn't selling meds
Never mind, I'd probably be somewhere scamming, laying in bed"
share_video_7339691972225010975_.mp3,CARNIVAL (feat. Playboi Carti),"¥$, Kanye West, Ty Dolla $ign & Rich The Kid","[Intro: Choir &
Playboi Carti
]
Go, go, go, go
Head so good, she a honor roll
She ride the dick like a carnival
I done did the impossible
Go, go, go, go
Head so good, she a honor roll
She ride the dick like a carnival
I done did the impossible
Go
Ha, ha, ha,
schyeah
[Verse 1: Rich The Kid &
Playboi Carti
]
Way too rich to drive a Rove'
Made a milli' off the stove
She like to put it in her nose
Pretty bitch with white toes
I done put on all the bros
I done fucked her in the Rolls (
Hahahaha
)
I done pulled up in the Ghost
I done reachеd all my goals
Yeah, yeah, pull up with Yeezy and Dolla $ign
I'm all about business, I'm mindin' minе
Pull up in the trenches like Columbine
Pull up with the rocket like NumbaNine
I don't want your hoes
Young nigga reach all the goals
Let her suck the dick, said she was a pro
If she scrape her teeth, I'ma tell her to go"
share_video_7326288796163607841_.mp3,"yes, and",Ariana Grande,"[Verse 1]
In case you haven't noticed
Well, everybody's tired
And healin' from somebody
Or somethin' we don't see just right
[Pre-Chorus]
Boy, come on, put your lipstick on (No one can tell you nothin')
Come on and walk this way through the fire (Don't care what's on their mind)
And if you find yourself in a dark situation
Just turn on your light and be like
[Chorus]
""Yes, and?""
Say that shit with your chest, and
Be your own fuckin' best friend
Say that shit with your chest
Keep moving like, ""What's next?""
""Yes, and?""
[Verse 2]
Now, I'm so done with caring
What you think, no, I won't hide
Underneath your own projections
Or change my most authentic life"
share_video_7330409084144979243_.mp3,We Are the People (Burns Remix),Empire of the Sun,"We can remember
Swimming in December
Heading for the city lights
In nineteen seventy five
We share in each other
Nearer than farther
The scent of a lemon
Drips from your eyes
We are the people that rule the world
A force running in every boy and girl
All rejoicing in the world
Take me now, we can try
We lived an adventure
Love in the summer
Followed the sun till night
Reminiscing other times of life
For each every other
The feeling was stronger
The shock hit eleven
Got lost in your eyes
I can't do well when I think
You're gonna leave, but I know I try
Are you gonna leave me now?
Can't you be believing now?"
share_video_7339621873120021791_.mp3,Blooket Freestyle Beat,cj icyy,This song is an instrumental
