,video_id,video_diggcount,video_sharecount,video_commentcount,video_playcount
0,7315561816673750318,3600000.0,40100.0,11000.0,19000000.0
20,7306252753158950187,2000000.0,108700.0,19800.0,28900000.0
22,7316982795283287339,2800000.0,14800.0,6313.0,19100000.0
57,7339562593264078110,1900000.0,4569.0,2698.0,9800000.0
61,7338837606840651054,4200000.0,22500.0,8573.0,47700000.0
68,7339596534545173791,667300.0,2276.0,4822.0,9900000.0
102,7340022866655726890,3000000.0,19000.0,8306.0,12600000.0
113,7336561637261970720,2400000.0,6415.0,20700.0,19300000.0
116,7338965201263562030,3000000.0,8661.0,4453.0,15100000.0
125,7329787555732409608,1400000.0,3701.0,2752.0,11100000.0
165,7338796937686043909,959100.0,2525.0,1889.0,16400000.0
174,7338033399262842158,790700.0,2942.0,3957.0,32700000.0
178,7336923015030066464,1200000.0,2342.0,3699.0,21000000.0
184,7339362613869956394,2200000.0,73300.0,28200.0,9800000.0
187,7339697588137987359,1600000.0,7566.0,13200.0,14400000.0
189,7338197054352739630,2400000.0,64400.0,14900.0,12800000.0
208,7339685917759769899,2300000.0,2701.0,34000.0,40300000.0
217,7340011494291131691,4800000.0,114700.0,51300.0,40800000.0
225,7335305390181158186,1400000.0,4732.0,4200.0,19100000.0
232,7339992661496991009,2300000.0,4320.0,6163.0,21500000.0
243,7339677094655315232,1600000.0,4703.0,6766.0,10900000.0
255,7339105587289935106,2000000.0,8740.0,16200.0,21500000.0
266,7339270301655502122,812900.0,940.0,859.0,10700000.0
269,7337902986385050922,1300000.0,9090.0,1991.0,12300000.0
270,7340302464995839238,1300000.0,29800.0,10800.0,9900000.0
277,7339746812401732910,1700000.0,2761.0,1248.0,17200000.0
310,7332897307119160609,2500000.0,58900.0,19100.0,11800000.0
315,7335512403507072289,2900000.0,19900.0,15700.0,16100000.0
321,7312121029856480555,1400000.0,19600.0,4458.0,25100000.0
337,7333115875790261536,629100.0,3035.0,3724.0,18800000.0
339,7331136581740367112,2600000.0,3859.0,1970.0,34800000.0
352,7318283330175241477,3100000.0,15800.0,17300.0,19600000.0
356,7336975731928419614,709100.0,1256.0,4267.0,17700000.0
366,7334615934721625350,704500.0,892.0,458.0,18100000.0
379,7333740870266834222,1900000.0,7208.0,7360.0,30800000.0
385,7337869692125646123,983100.0,1226.0,943.0,10400000.0
389,7334731040692587822,699800.0,14300.0,5169.0,11000000.0
403,7332058709104790816,2100000.0,15200.0,1872.0,12600000.0
408,7332951273739668778,1800000.0,11200.0,674.0,11400000.0
417,7334540958782000427,1100000.0,3647.0,5334.0,15000000.0
424,7337553644369366314,7900000.0,36700.0,22700.0,60400000.0
435,7332575823242792235,740400.0,20400.0,3245.0,20300000.0
441,7329267660640865578,1000000.0,5875.0,3012.0,20800000.0
457,7337758973703114017,2800000.0,7701.0,6186.0,16900000.0
500,7338339892952354090,2800000.0,27000.0,17800.0,20700000.0
559,7338837091981331754,1800000.0,8623.0,4063.0,10200000.0
571,7336489079967632672,1900000.0,37800.0,19700.0,13900000.0
624,7338769181594127622,2000000.0,25700.0,4808.0,9500000.0
632,7334194548446350597,2300000.0,6515.0,4555.0,15500000.0
644,7338058289869081889,1600000.0,1947.0,4386.0,12000000.0
647,7334853625367317793,16100000.0,724700.0,96200.0,105800000.0
651,7328932932943383814,3200000.0,3133.0,5000.0,27300000.0
665,7337433492822723873,15900000.0,847100.0,96700.0,147300000.0
687,7328735621986487554,1600000.0,67000.0,23100.0,38800000.0
698,7336557059963374890,2000000.0,3161.0,2527.0,15300000.0
701,7206418312656506158,1300000.0,19500.0,17000.0,242500000.0
710,7334486058031205678,3500000.0,65900.0,50900.0,16900000.0
715,7335141561082088711,919700.0,72900.0,21300.0,19500000.0
724,7337876702116449582,2100000.0,186200.0,28800.0,31900000.0
739,7334356059106053409,1900000.0,5043.0,11800.0,35000000.0
742,7327022764856970538,1100000.0,2681.0,4399.0,25400000.0
745,7335761618162208032,4100000.0,3058.0,7292.0,59400000.0
750,7333002638113525035,1100000.0,3108.0,5823.0,11900000.0
767,7262027736665836846,708600.0,2644.0,2114.0,135900000.0
768,7332958026850258219,1400000.0,3926.0,3445.0,14700000.0
781,7321892334558301446,7000000.0,11500.0,11000.0,45300000.0
786,7335937245632826666,3100000.0,62800.0,16400.0,19900000.0
799,7337433647936490795,6300000.0,157700.0,36800.0,56100000.0
811,7336877244641561862,2900000.0,39800.0,15900.0,12500000.0
843,7334496331257417003,1200000.0,4945.0,5961.0,15000000.0
847,7337461619200494853,2600000.0,9214.0,3634.0,19000000.0
850,7337522140775779615,1500000.0,10900.0,0.0,17300000.0
864,7337206253921258795,1800000.0,7427.0,4801.0,13100000.0
870,7337522389497941278,1900000.0,6713.0,0.0,17300000.0
885,7336417320446856450,15400000.0,398800.0,111700.0,142200000.0
889,7331853628291976491,1500000.0,21400.0,8636.0,9800000.0
900,7334911121100475678,1700000.0,17100.0,11500.0,12600000.0
909,7331230833476390175,2300000.0,43100.0,11300.0,13500000.0
918,7336376740073245995,1500000.0,2102.0,1627.0,13300000.0
922,7336274344940686622,1800000.0,1572.0,5076.0,14900000.0
927,7335984075863313695,5200000.0,17800.0,15800.0,41500000.0
940,7331990939487063339,1500000.0,4095.0,2115.0,14200000.0
941,7334981876693634336,3200000.0,2744.0,7515.0,20000000.0
945,7333737576869694750,2400000.0,35300.0,6070.0,11400000.0
953,7334947203120729387,728700.0,4049.0,9151.0,26400000.0
954,7336326813121121579,3300000.0,18700.0,21800.0,24900000.0
955,7336487071323786539,11600000.0,77800.0,50600.0,89800000.0
975,7336420107171663137,1000000.0,805.0,10100.0,10100000.0
977,7336376242180148526,5900000.0,51900.0,22400.0,44000000.0
1011,7334875328554519850,628300.0,4739.0,7829.0,9400000.0
1032,7333981964900388103,3300000.0,16700.0,9269.0,20700000.0
1033,7335581309290515744,791300.0,884.0,6937.0,11700000.0
1038,7329990500528753953,1800000.0,2163.0,2344.0,13500000.0
1043,7335188471939697963,1900000.0,953.0,1517.0,19000000.0
1050,7329245377201179946,939000.0,4801.0,3209.0,12000000.0
1056,7334525377911590187,2200000.0,34500.0,18200.0,32500000.0
1069,7335051992286465281,1900000.0,21700.0,10500.0,9900000.0
1111,7326703653488725290,2400000.0,105100.0,38300.0,173700000.0
1120,7333570491686341920,1300000.0,21500.0,142300.0,14500000.0
1133,7335530026881846533,770900.0,8932.0,5701.0,19400000.0
1142,7324301096535526663,3900000.0,64000.0,40700.0,85000000.0
1146,7327603235315879211,3300000.0,83600.0,38500.0,176000000.0
1155,7332562010598640939,688700.0,518.0,526.0,16000000.0
1168,7325651170112965918,632800.0,547.0,2317.0,11700000.0
1180,7325483981049220395,2800000.0,6988.0,6715.0,20700000.0
1191,7333130992598748449,980000.0,16200.0,6070.0,66100000.0
1198,7331059357842591019,2500000.0,99000.0,16300.0,15900000.0
1208,7332012299718282539,2300000.0,143000.0,66100.0,18600000.0
1218,7332922034860625195,1000000.0,14500.0,3626.0,12200000.0
1240,7331983752891059498,1100000.0,8025.0,4812.0,13600000.0
1242,7327410420355222790,1600000.0,12300.0,6091.0,51900000.0
1259,7329267660640865578,1000000.0,5875.0,3012.0,20800000.0
1269,7335952420238937387,1400000.0,1779.0,3496.0,15900000.0
1312,7332713950074653995,2100000.0,18400.0,4204.0,12900000.0
1365,7334739339353574689,1900000.0,15900.0,6471.0,12800000.0
1390,7331944271223754026,2000000.0,22300.0,6027.0,19700000.0
1411,7327022764856970538,1100000.0,2683.0,4399.0,25400000.0
1441,7333975688346750241,1000000.0,24800.0,29100.0,9600000.0
1451,7335232528745254187,3200000.0,31000.0,14500.0,17900000.0
1458,7303793297867296046,940200.0,516.0,1953.0,10800000.0
1461,7336034739452677406,2100000.0,10900.0,18100.0,10400000.0
1488,7317422790406049070,1700000.0,25000.0,5720.0,15100000.0
1497,7335510732315921706,1700000.0,5767.0,2699.0,14000000.0
1518,7335163145528298785,1800000.0,82200.0,57200.0,13400000.0
1547,7334920050966678826,1700000.0,12400.0,6667.0,15800000.0
1551,7334424206626589995,1300000.0,13500.0,9973.0,9600000.0
1579,7334096197424090410,1200000.0,5064.0,16900.0,9800000.0
1587,7334406382759841066,2700000.0,11300.0,4317.0,18000000.0
1591,7334789153864895786,2700000.0,39100.0,52800.0,19000000.0
1615,7334367303817039112,1200000.0,2048.0,1637.0,9600000.0
1648,7335187818710371627,1200000.0,27100.0,13700.0,9600000.0
1660,7335171371607002399,1200000.0,5268.0,9164.0,11600000.0
1680,7332266780041186602,2000000.0,48400.0,11300.0,14600000.0
1702,7334478071455567147,2800000.0,59500.0,14500.0,16200000.0
1716,7335112902711545134,1800000.0,25000.0,11300.0,10200000.0
1720,7334070786291961118,2900000.0,7180.0,0.0,40600000.0
1740,7334841950987619627,722700.0,7051.0,4651.0,12500000.0
1754,7205717637312056619,3200000.0,72600.0,6634.0,93000000.0
1763,7334518997305593130,1300000.0,50400.0,55300.0,13200000.0
1770,7334594551950347566,2200000.0,16400.0,6694.0,18400000.0
1785,7332692602669567275,2600000.0,61000.0,15100.0,11700000.0
1804,7332181889715047726,1100000.0,14200.0,16700.0,13900000.0
1807,7332985553048194305,3900000.0,48200.0,71400.0,23300000.0
1823,7331605462997208366,1700000.0,93100.0,16200.0,20700000.0
1831,7331012962376994094,867800.0,10400.0,6598.0,9500000.0
1839,7333860325873159466,2300000.0,37100.0,13200.0,12500000.0
1840,7333031366528945414,4900000.0,20600.0,3227.0,25100000.0
1871,7331320026718326048,1100000.0,587.0,594.0,11700000.0
1874,7330689366450441518,4300000.0,51400.0,8783.0,63900000.0
1884,7325938629388340511,693900.0,7740.0,3152.0,14300000.0
1889,7328766924861541664,2300000.0,59300.0,20700.0,17100000.0
1890,7333834299415760171,1800000.0,6864.0,4533.0,13700000.0
1912,7332040118414380321,3700000.0,43300.0,22200.0,35600000.0
1913,7323996683619044613,1600000.0,8392.0,3906.0,11100000.0
1936,7328940245657881899,1700000.0,6243.0,13500.0,17100000.0
1938,7334128923539770666,3300000.0,12900.0,8825.0,19500000.0
1950,7326206101806959877,1700000.0,24100.0,10600.0,22500000.0
1951,7332970109016837382,848900.0,2697.0,5845.0,59400000.0
1952,7332601101209963809,2500000.0,51400.0,9287.0,15700000.0
1955,7332240020364922154,2100000.0,16300.0,2737.0,14000000.0
1957,7327626527770742058,1400000.0,3422.0,1937.0,11300000.0
1967,7332990307681815851,1700000.0,8311.0,9720.0,32600000.0
1971,7326620952740105477,1400000.0,20800.0,8143.0,11300000.0
1974,7333429932749573418,2900000.0,9800.0,5034.0,17600000.0
1975,7332974244592241966,2400000.0,16800.0,6463.0,13100000.0
1983,7329274198096973099,1100000.0,2762.0,4089.0,11800000.0
2013,7332569548215864608,4000000.0,47000.0,16600.0,17300000.0
2017,7333715923951553834,1700000.0,7065.0,7991.0,9600000.0
2021,7331226638476168494,856200.0,23900.0,6101.0,9500000.0
2054,7331561420728831275,1400000.0,795.0,1705.0,18800000.0
2070,7332928309853949216,2500000.0,25000.0,7100.0,13400000.0
2085,7333016808208878878,2400000.0,117800.0,32400.0,12300000.0
2091,7332193750317403434,3600000.0,168900.0,18600.0,28700000.0
2098,7330785064340491566,993700.0,26100.0,4047.0,11500000.0
2124,7331474521108614430,644400.0,1476.0,9783.0,19900000.0
2135,7331787620504063264,1100000.0,5113.0,2433.0,13600000.0
2140,7330804667342966059,1100000.0,3332.0,17800.0,12500000.0
2147,7325472993465994529,1100000.0,4841.0,2073.0,11200000.0
2150,7329230392161062149,959300.0,351.0,332.0,11400000.0
2155,7332931934269590817,1800000.0,2977.0,9227.0,22100000.0
2169,7331049988006415658,1400000.0,20800.0,3327.0,11100000.0
2180,7330297000031800622,2300000.0,5230.0,3988.0,12900000.0
2196,7331680039223708933,2700000.0,12900.0,14100.0,18200000.0
2216,7332806853715447072,1800000.0,4205.0,34500.0,82400000.0
2221,7333639714420837675,2200000.0,20000.0,17000.0,29800000.0
2231,7327632054017953057,941000.0,18100.0,12400.0,12000000.0
2254,7333187619150515458,1900000.0,5403.0,9732.0,19600000.0
2258,7333367405059607850,2500000.0,64400.0,5632.0,14000000.0
2278,7329674307355954475,1900000.0,14600.0,6006.0,14200000.0
2281,7332147084356750624,1900000.0,24800.0,10800.0,13700000.0
2285,7331566918735875371,777000.0,11300.0,4038.0,12800000.0
2305,7329216981129825566,9200000.0,335900.0,68600.0,53600000.0
2317,7332692602669567275,2600000.0,61000.0,15100.0,11700000.0
2318,7332133219934014762,772900.0,3391.0,5249.0,45700000.0
2324,7332304959477714218,2700000.0,11600.0,7269.0,9500000.0
2331,7332212750678150446,4600000.0,138000.0,27900.0,20400000.0
2334,7330154311105760554,1700000.0,2529.0,3782.0,18200000.0
2345,7332689218436664619,1700000.0,18700.0,14300.0,13600000.0
2349,7333637539552742702,3200000.0,153700.0,52300.0,26000000.0
2350,7331455231147904288,2500000.0,52700.0,12500.0,14200000.0
2355,7332952824919100714,2800000.0,35100.0,7843.0,19900000.0
2398,7332133219934014762,772900.0,3391.0,5249.0,45700000.0
2401,7325879255898934561,2300000.0,3719.0,4602.0,26600000.0
2411,7332128423898336558,674700.0,4503.0,4752.0,38600000.0
2414,7332702447212711211,3000000.0,44800.0,16600.0,15800000.0
2418,7326880701054291205,2200000.0,13700.0,18200.0,15900000.0
2420,7332089817620024608,1300000.0,4648.0,3096.0,19300000.0
2431,7331892443257867563,1300000.0,75200.0,42500.0,14600000.0
2435,7331393376627068203,3500000.0,66000.0,21200.0,17300000.0
2436,7332716395714710790,2900000.0,1962.0,3588.0,26300000.0
2438,7332551717822680363,3800000.0,6644.0,11300.0,21000000.0
2446,7333002638113525035,1100000.0,3108.0,5826.0,11900000.0
2454,7332133219934014762,772900.0,3391.0,5249.0,45700000.0
2473,7205717637312056619,3200000.0,72600.0,6634.0,93000000.0
2507,7332488779766172960,2700000.0,13500.0,54700.0,21700000.0
2508,7331843877206232362,2800000.0,10600.0,5309.0,28000000.0
2521,7332776324370599210,1600000.0,33900.0,26500.0,9600000.0
2544,7332692602669567275,2600000.0,61000.0,15100.0,11700000.0
2586,7331566337015237930,3600000.0,38900.0,5710.0,20700000.0
2587,7332896795338591530,3000000.0,64800.0,26900.0,15700000.0
2596,7331499717068836142,9600000.0,528300.0,67700.0,77900000.0
2604,7332128423898336558,674800.0,4503.0,4752.0,38600000.0
2606,7333032368405613870,1700000.0,9554.0,4985.0,9800000.0
2612,7332358613299760415,1700000.0,44600.0,15700.0,13300000.0
2615,7332128423898336558,674800.0,4503.0,4752.0,38600000.0
2616,7332826885031808263,3300000.0,49300.0,14500.0,19100000.0
2622,7330325090229325088,1900000.0,26900.0,9337.0,11800000.0
2650,7327707653512383790,813700.0,1172.0,1735.0,12100000.0
2656,7327633411722628398,3200000.0,33400.0,14300.0,21300000.0
2660,7332128423898336558,674800.0,4503.0,4752.0,38600000.0
2661,7332237986769423662,1600000.0,63000.0,10800.0,15400000.0
2701,7329659477563542817,3200000.0,10800.0,3878.0,25700000.0
2707,7326479571237326126,5300000.0,81000.0,42200.0,36800000.0
2711,7327703688217185542,975900.0,27200.0,5733.0,16300000.0
2712,7328237656070999339,1800000.0,35600.0,5437.0,11400000.0
2720,7326803263246863658,2200000.0,42200.0,14200.0,28900000.0
2729,7331526935786589486,4000000.0,176700.0,18800.0,54100000.0
2739,7325192838461836586,3600000.0,4256.0,5490.0,38700000.0
2746,7313773918144204074,2400000.0,5066.0,11300.0,59200000.0
2760,7312141226826878214,3700000.0,10200.0,10700.0,29200000.0
2774,7331166847921835297,2800000.0,4933.0,7493.0,19300000.0
2803,7328476814362430762,4100000.0,53100.0,21100.0,23800000.0
2821,7326842376004111646,1300000.0,1090.0,1676.0,13700000.0
